n	ANSEHEN.....und danach bitte TEILEN...TEILEN....TEILEN.... https://t.co/z18lnbOWRQ
n	#Koeln Mohamed erkennt kein deutsches Recht sondern nur die #Scharia an. Das er den Kölner Dom kaputt machen wollte, war nur ein Scherz aber wenn er aus dem Knast rauskommt, hat er kein Mitleid mehr. https://t.co/xcSixH8JR2
n	mdr Umfrage 'Gehört der Islam zu Deutschland?' 15.000 beteiligten sich und hier zeigt sich der Unterschied zwischen Propaganda und realem Empfinden der Menschen. https://t.co/eOwnM7zW96
n	Einreise per Flugzeug: Regierung erklärt Flüchtlingszahlen zur Geheimsache / AfD prüft rechtliche Schritte https://t.co/r6ijPQ7u6y
n	alle müssen etwas mehr tun❗    Sonst wird es viel Leid geben.     Mehr als 1945. Viel mehr❗    Und in jeder Hinsicht❗    https://t.co/dRlM3AiFtS    https://t.co/7ICQOswycy
n	„Wurde in den letzten Jahren vonseiten der Politik auf Verteilen statt Schaffen von Wohlstand gesetzt, steht uns ein noch radikalerer Weg bevor.“   Klasse, fundierter und bedrückender Lagebericht von @thinkBTO   https://t.co/DmziXwAWIZ
n	@Tiefseher @welt Wenn der Staat damit wenigstens für die Zukunft sorgen würde! Bildung, Innovation, Infrastruktur, .... stattdessen Sozialstaat für alle.
p	💩👉'Cohn-Bendit ist kein altersverwirrter Spinner, sondern ein knallharter machtgeiler Kaderschmied der modernen Herrschsucht'. 👈💩  https://t.co/PzlYD9T2RP
n	Die #AfD warnt schon lange davor, dass die Schule von links-grünen Lehrern unter Missachtung des #Beutelsbacher_Konsens zur politischen Beeinflussung der Schüler missbraucht wird. Man fühlt sich in schlimmste #DDR-Zeiten zurückversetzt. #Neutrale_Schule https://t.co/pk4NIf4acJ
n	@ArasBacho Wer hat dem kriminellen Grapscher das geschrieben? So viel IQ hat der nicht, dass der auch nur einen Satz fehlerfrei schreiben kann.
n	#Regensburg: Syrer (16) schlägt bei einer Geburtstagsfeier in einer Sportgaststätte einer 18-Jährigen ins Gesicht und zückt ein Einhand-#Messer - als Gäste dazwischengehen eskaliert die Situation, es kommt zur #Massenschlägerei mit mehreren Verletzten  https://t.co/MybWYp37p0
n	Alfred Nobel würde sich im Grab rumdrehen.  Ein Obama (führte die meisten Kriege im Amt eines US-Präsident), wurde der Friedensnobelpreis verliehen.  Nun ein psychisch krankes Kind, steht nun ganz weit oben auf der Liste für die Verleihung des 'Friedensnobelpreis'.  Sind die krank?
p	#Koeln Weil die Irakerin Zozan sich scheiden lies und ein eigenständiges Europäisches Leben ohne Zwang führen wollte, wurde sie von Ex-Ehemann Dilgasch mit Kopfschüssen hingerichtet. Das gehört nunmal jetzt zu Deutschland https://t.co/YHoN7HaTPY
n	In #Hamm wird dieses Herzchen gesucht. Er stieß einen 65 Jahrigen sehbehinderten Mann aus dem Aufzug, als dieser den Aufzug betreten wollte. Der Senior verletzte sich beim Sturz erheblich https://t.co/pbSPhgNGu6 https://t.co/9t1lcqnbq5
n	Fastenbrechen in Triberg, Bürgermeister &amp; Pfarrer sind auch dabei,die Bürgermeister-Sekretärin aber sitzt bei den Frauen, denn es herrscht 'strikte Trennung der Geschlechter - ausschließlich Männer waren beim Fastenbrechen', Frauen sind in separaten Räumen  https://t.co/cN5AlprnNC
p	Das Schöne am Klimawandel: Damit lässt sich von der massiven Steuererhöhung über die Einschränkung der Reisefreiheit bis zur Beschneidung von Meinungs- und Pressefreiheit jede Maßnahme rechtfertigen, die linken Psychpathen nur einfallen kann. Deshalb fahren die so darauf ab.
n	@lawyerberlin @Lebensformation ich nenne jeden einen Barbaren, der aus religiösem Fanatismus Musikinstrumente zerstört. Wobei Barbar noch sehr milde ist.    VOR ALLEM DIE VOLLIDIOTEN, DIE ORGELN ZERSTÖREN!!     Und überhaupt Kirchenzerstörer!
hs	@SaschaUlbrich @symptompanik @Mundaufmachen @AfD Man kann wirklich nur verzweifeln. Warum haben die Politiker das zugelassen? Warum haben wir das zugelassen. Fck Islam. Ich will diesen Rotz aus meinem Land haben. Zurück in das Mittelalter mit euch.
p	@convalaria1 @Wirklichkeit123 @Tschonka Es wurde nicht verschärft, sondern immer ernster, genauer und buchstäblicher genommen. 'Mein Kampf' auf den Index gesetzt zu haben, aber den Koran nicht, ist die größte zivilisatorische Fehlleistung der Bundesrepublik Deutschland. https://t.co/9QStNJAWkp
n	@JoanaCotar @Notabaris @Die_Gruenen @GoeringEckardt Die meisten Grünen wären zu dumm, eine Würstchenbude erfolgreich zu betreiben. Aber sie wissen natürlich genau, was Konzerne zu tun haben. Der Standort Deutschland wird scheibchenweise ruiniert.
