label	text
hs	gleich an die wand stellen und erschiessen..
n	"nicht dass ich der Grundbotschaft dieses Post's widersprechen würde, aber 1 Rechtschreib- und 1 Grammatikfehler in einer so kurzen Beschreibung stärkt leider nur das clichee ""blau-Wähler haben nichts im Hirn"" bei dem politischen Gegenüber."
n	"Das mit dem ""an die Wand stellen und erschiessen"""
n	"Seit dem ""an die Wand stellen und erschiessen"" sind in Deutschland nun etwa 60 Jahre her."
n	Ja ja die Kriminelle Heimatpartei FPÖ von Kinderpornografie beim Orts Chef von Burgenlabd bis Waffenhandel von Betrug Verhetzung bis Körperverletzung von falscher Zeugenaussage bis Mord bei RFJ....bezirksleiter schießt 13 Jährige über den Haufen Bundesrat wegen Wiederbetätigung verurteilt
hs	Ihr seids empfindlich . . Is beste wos uns passieren kann is , das Sie die Herrschaften selbst Niederfeiln . Und Ihr grünen . Euch wollte ich Danken . Euch Hurenkinder können wir den ganzen Scheiß verdanken.
hs	Mei bitte, sie sollen sich alle gegenseitig abstechen! Problem gelöst!
n	Wahnsinn.... :-(
n	Alles nur traumatisierte Kindlein.  Die von den Grünen bezahlten Anwälte werden es schon richten. ?
n	Fachkräfte bei der Arbeit. Ein Hirnchirurg und ein Atomphysiker...
n	Unglaublich, was für ausländerfeindliche Kommentare man immer wieder zu lesen bekommt und unglaublich, wieviel Nazi noch in vielen Deutschen drinsteckt.
n	ich staune nur daß in österreich dieses problem so rasch ankam. eigentlich sin die doch immer so 40jahre danach
n	Das ist multi Kulti
n	Es soll doch jeder in sein eigenen Land bleiben,da können Sie sich Untereinander von mir aus Totschlagen..........
p	Supie! Sie löschen sich gegenseitig aus! Hoffentlich bald!
p	jagt dieses Dreckspack raus.
p	die regierung will es doch so ,polizei schaut bitte nur zu lass die sich mal selber dezimieren schont euch
n	weiter so freut mich das alle gutmenschen aufwachen
n	beide volksgruppen sofort ausweisen das eizige legitime mittel
n	warum hauen die ösis nicht drauf die könnens doch die haben doch keine geschichte, die ihnen dauernd ungerechtugterweise vorgehalten wird. andere länder hatten auch schlechte machthaber, da spricht keiner drüber immer nur wir und die frau kriegt den mund nicht auf
n	alle raus da wo die herkommen aber ALLE und das problem ist gelöst !!!!
n	damit müssen wir laut der merkel leben . ich sage raus mit denen und die sollen die merkel direkt mit nehmen
p	Dreckspack entsorgen.
n	R A U S mit dem P A C K
n	..hat mit Volksgruppen nichts zu tun, findet unter Deutschen ständig statt: Rockergruppen, Hooligans usw.
p	ab nach hause und gibt ihnen genug waffen mit um sich zu killen ! problem gelöst
n	Warum hat niemand der Frau geholfen?Den Verbrecher sollte man verrecken lassen anstatt ihm zu helfen!
n	Supa gail !
n	hoffentlich tut es ihm ordentlich weh !!!
p	schade das er es überlebte
n	Hoffentlich verbleibt er Ö nicht lebenslang als Pflegefall!
p	Die Rübe hätte ihm die Garnitur abfahren sollen, dem Arsch.
n	müßten vielmehr züge fahren, so mit nem kleinen bajonett vorn dran
n	Klar von Steuergelder auch noch Notoperiert. Hätte gleich noch ne U-Bahn losgeschickt. Einpacken und Ticket nach Algerien auf die Stirn drücken.......................
n	selbst schuld,ich bin durchaus kein feind gegen ausländer,denn unser freund ist aus pakistan,abere der typ gehört nicht ins krankenhaus,sondern auf den gleisen müsste man den liegenlassen
n	Richtig so alle Krimos raus aus Deutschland,natürlich auch die Deutschen Krimos!
n	einer weniger
p	hoffentlich verreckt er der facharbeiter
n	Wer bezahlt den Hubschraubereinsatz für diesen Verbrecher?
n	gleich bestaft ist doch super brauchen wir kei gericht
n	So viel Gesindel bei uns. Mir tut er nicht Leid.
p	auf den gleisen sterben lassen,das wäre ein fall von absoluter gerechtigkeit
n	Ich muss mal eben auf die Kommentare bzw. deren Verfasser ??.
p	Politiker bekommen Personenschutz und wer schützt unsere Bevölkerung vor diesen Verbrechern und Abschaum ? Das ja den GROSSEN nichts passiert. Haben Angst um ihr bisschen Leben. Was ist mit der Angst die diese alte Frau jetzt hat? Die sollte Schmerzensgeld von der Bundesregierung einklagen die dieses Unrat in unser Land holt......
n	Hätten das Kriminelle Ausländer ...... liegen lassen solln...
p	Dumm gelaufen für das Arschloch
n	Als rein ins ländle mit dem gesocks. Wir haben noch platz
n	Raus damit
n	Top noch mehr von dem gesöcks!
p	Raus mit dem Rattenpack
n	raus aber sofort der krieg fängt schon an
n	Lasst uns schiffe versenken ...
p	Wieso festgenommen, gleich nachschmeißen ins Meer!
p	Drecks pack. ...
hs	Spielen wir Bimbos versenken
n	Tja dann doch mal herzlich willkommen im CHRISTLICHEN LAND bei den bescheuerten GUTMENSCHEN!!!
n	ALLES NUR HETZE
