label	tweet
n	"""Importierter Antisemitismus"" http://"
n	"""Kerngedanke"" ist gut, wir beschreiben einfach, wie der Medienbetrieb, Politikerkaste. Otto Normalindoktrinierter so ticken... http://"
n	"""Völkisch"" ist das neue schwul - der Begriff sollte rehabilitiert werden, allein um ihm die Spitze zu nehmen und die Volkophoben zu ärgern."
n	#AfD #Bayern auf #Facebook: Mehr #Obdachlose durch #Flüchtlinge? http://
n	#CSUPT17 in Nürnberg. Das hat ja schon ein bisschen Gschmäckle.
n	#Flüchtlinge: #Hessen bekommt eigenen Abschiebeknast #Darmstadt http://
n	#Kiel|er #Landtag: #SPD gescheitert - Pauschaler Winter-Abschiebestopp für #Flüchtlinge abgelehnt http://
n	#Kosten für #Flüchtlinge: Rechnungshof wieder für Pauschale: http://
n	#Leipzig: #Demo gegen Waffenverbot - #Linke Gruppe sieht #Grundrechte der Kleinkriminellen in Gefahr 😳🙈 http://
n	"#Seenotretter in #Andalusien überfordert
Keine Winterpause: Nach #Spanien fliehen so viele #Flüchtlinge wie seit zehn Jahren nicht mehr
http://"
n	#UN evakuiert #Migranten aus #Libyen, um sie direkt nach #Frankreich umzusiedeln http://
n	#Wismar 2 Täter mit leicht gebräunter Haut, halten eine 7 Jährige fest, durchsuchen sie und klauen ihr 10 Cent! http://
n	"+++++++Rätsel+++++++
Die hier gezeigten Merkellegos bring A: Absolute Sicherheit gegen einfahrende LKW oder B: Wenn ich das jetzt hier schreiben würde, würde mich Twitter sperren http://"
n	....😶.... armes Krankes Gesindel !! mehr fällt mir dazu Nicht ein! ..außer: froh zu sein-die #AfD gewählt zu haben! denn Sie u.mich verbinden🇩🇪zu sein, zu meinen Werten,Ehre, Identität u.die Liebe zu meinem Land u.Heimat Deutschland! http://
n	...hoffe u.wünsche a.ich🤧!aber seien wir Ehrlich-die Zeichen u.Zeiten deuten darauf hin. u.irgendwie,betrachten Wir nur allein unser🇩🇪ist es inoffiziell nicht längst schon so?zumindest d.Vorreiter(Bürger...)nur spricht es keiner aus!🇩🇪‘e hassen🇩🇪‘e?Reg.setzt alles daran🙈 http://
n	...ja, dachte ich mir d.auch schon,u.nicht n.Das, 🇩🇪denkt es habe sich durch 1 kindische“Bändchen Aktion“ weiter entwickelt-so ist das nen Armutszeugnis gg.über diesen Kriminellen! in Wahrheit h.s.diese verbrecherisch weiter Entwickelt“..haben n.nicht mal Respekt v.d.Polizei! http://
n	...🤧...besser nicht http://
n	2020+ unsere Zukunft – sie wollen das Wetter besitzen http://
n	5 Attentatsversuche die live gefilmt wurden http:// via @name
n	500 Benachrichtigungen - ich arbeite auch an Wochenende
n	<— größter Weiberheld der freien Welt
n	@CDU #Merkel tritt endlich zurück!
p	@CDU @CSU 3 Jubelzäpfchen auf einmal. Wird aber eng in Merkels Arschloch, was?
n	@CDU @name Und wieder nur verbale Propagandaköttel.
n	@CDU Jedesmal wenn Merkel solche Phrasen drischt müsste sie eigentlich sofort vom Blitz getroffen werden.
n	@CSU @Die_Gruenen Entscheidender Unterschied, oder der einzige?
