n	Vllt. liegt es ja auch daran, dass Frauen über Frauenthemen bloggen, wie Nagellack oder wie hier das Frauen trotz Förderung immer davon bloggen wie sehr sie doch diskriminiert würden. Das alles wäre sicherlich interessant, wenn Mann hierzu auch mal Argumente zu lesen bekäme. Männer lesen nämlich am liebsten nachvollziehbare, logische Texte. Es fängt z.B. damit schon an, dass der 100. Frauentag letztes Jahr war. Der erste war 1911 und muss natürlich auch mitgezählt werden. Aber das meine ich mit etwas logischer Texte und mehr argumentieren, dann kommen auch die Leser ....
n	"“Ich habe nie genau herausgefunden, was der Feminismus eigentlich ist. Ich weiß nur, dass man mich als Feministin bezeichnet, wann immer ich Gedanken äußere, die mich von einem Fußabtreter unterscheiden.”
(Rebecca West, 1913)
Inzwischen weiß man ja, was der Feminismus ist: Frauenbevorzugung, Männerbenachteiligung, Zerstörung von Familien, Kinder, Mutterschaft und Vaterschaft. Feminismus ist Femi-Faschismus, Verlogenheit, Doppelmoral, Spießigkeit, Selbstgerechtigkeit, Sexismus, Pseudoidealismus, Möchte-gern-Humanismus, Einseitigkeit, Halbseitigkeit,
er ist antidemokratisch...
Wer heute noch ein Zitat von Rebecca West von 1913 verwendet, der hat anscheinend nichts verstanden!!!
Ich hoffe nun nicht, daß dieser Kommentar als negativ betrachtet wird und gelöscht wird - sondern in einer Demokratie mit Anspruch auf geistige Freiheit für alle als kritischer und eher zum Nachdenken anregender Beitrag gewertet wird - anstatt arrogant zensiert zu werden! Danke!"
n	"Zum Feminismus: Wusstet ihr (dumme Frage, natürlich wisst ihr das nicht), dass der ganz wesentlich aus aus der Lesbenbewegung stammt? ""Courage"" und so? Fragt mal Xena.
Die mussten auch heterosexuelle Frauen mit ins Boot holen, um eine brauchbare Lobby für ihre Interessen zu erhalten. Deswegen auch das Gesülze von Zwangsheterosexualität, Queer und Gender. Und daher auch dieser Hass auf Männer.
:) Na, löscht mal fröhlich"
n	"Eine Enzyklopädie zeigt nun einmal im Wesentlichen die Vergangenheit, Wikipedia ist keine Tageszeitung. In dieser Vergangenheit waren Männer als Forscher, Politiker, Kulturschaffende, Kriegstreiber, Erfinder usw. bei Weitem mehr an der Gesellschaft, am Leben uvm. beteiligt, positiv wie negativ. Diese Tatsachen kann man nicht weggendern, auch wenn die ein oder andere dies hier gern hätte.
Es liegt an euch, dass 2050 von mehr Frauen gelesen werden kann, die in 2010, 2020 wichtig waren. Also, in die Hände gespuckt, Mädels, raus aus dem Esoladen, rein in die naturwissenschaftlichen Fakultäten (o.ä.). :-)"
n	"Mädels, wer Daten des Statistischen Bundesamtes ignoriert bzw. löscht, disqualifiziert sich selbst als ernstzunehmender Diskussionspartner. Und da wundert ihr euch, dass die Feministische Initiative in Schweden mit derlei Methoden nur 0,68% bei den Wahlen einfährt?
Deshalb gute Nacht und herzliches Beileid zu euerm bereits gescheitertem Propagandaportal, denn Lügen haben bekanntlich kurze Beine - zumal im Zeitalter des freizugänglichen Web, welches ihr ja nun - demokratischer Struktur hierzulande sei dank - nicht gleich der chinesischen KP zensieren könnt.
Soviel zum Treppenwitz des Jahrhunderts: Wenn Frauen am Drücker sind, wird niemand diskriminiert."
hs	"„von Natur aus“………..Bei dem Text krieg ich die Krätze.
Treffender hättest Du dich nicht offenbaren können. Genderwahn ist eine Ideologie, die sich gegen die Natur richtet, im ureigensten Sinne. Genderverrückte hassen die geschlechtliche Bipolarität als archaistisches Naturprinzip, sie hassen das Leben und damit letztendlich sich selbst; Genderverrückte, wie die Betreiberin dieses Hass- und Hetzblogs, sind psychisch gestört. Die Flucht in den Genderwahn ist ein Kampf gegen sich selbst, um den Selbsthass, den Hass auf das Leben mit seiner geschlechtlichen Bipolarität auszuleben."
p	Oder verkürzt formuliert: Keine Macht dem Genderwahn! Er hat unsere Gesellschaft auf geradezu unglaubliche Weise geschädigt, ja teilweise komplett zerstört, ganz besonders die Familien als Elementarzellen einer funktionierenden Solidargemeinschaft. Weiter hat er zur Ermordung von Millionen von ungeborenen Kindern geführt. Der Feminismus hat anfangs seine Berechtigung gehabt, wenn man sich die Zustände in den 50ern anschaut, wo Frauen nicht mal ein Konto eröffnen konnten ohne Zustimmung des Ehemannes, um nur mal ein Beispiel zu nennen. Die Gleichberechtigung ist aber längst (über)erreicht; was jetzt seit Jahrzehnten passiert, ist Genderverrücktenlobbypolitik. Wir brauchen wieder richtige Männer und Frauen, die diesen Femifaschisten mit aller Macht entgegen treten. Aber wir sind auf einem guten Weg. Ich finde es z. B. toll, wie eine Partei, wie die Xena, mit solchen durchgeknallten Hühner umgeht. Daran kann man sehen, dass die Genderbekloppten in der jüngeren Post-Gender-Generation keine Chance mehr haben. Und das ist auch gut so.
n	"Es kommt doch (auch) auf das Alter an. Einem Säugling (m) darf man gerne mal einen roten oder rosafarbenen Strampler anziehen.
Meinem 12jährigen Sohn dagegen würde ich abraten, wenn er in einer Rosa Unterhose zum Sportunterricht will. (Oder eines dieser rosa Handys mit Strass-Steinchen wählt).
Meine Meinung ist ganz klar, es gibt Stereotype, an denen man sich durchaus orientieren darf, wenn man sein Kind schützen und nicht schwächen möchte.
Pink ist nämlich wirklich manchmal schwul. Und es sollte nicht die die Profilneurose der Mutter oder des Vaters im Mittelpunkt stehen, sondern das Wohl des Kindes."
hs	"Du bist dermaßen psychisch krank, dass man nicht weiß, ob man lachen oder weinen soll. Ich habe noch nie einen Menschen im Web gesehen, der so viele Minderwertigkeitskomplexe hat. Einfach nur noch Wahnsinn. Du gehörst in psychiatrische Behandlung, eine psychologische reicht bei weitem nicht aus. Erst geht Dir einer drauf ab, dass Du in irgendeiner unwichtigen Genderwahnsinnigen-Blogliste geführt bist (gegen die männliche Rhetorik der ""Alpha-Blogger"" kommst Du nicht an; deswegen ärgerst Du Dich ja in Deinem Minderwertigkeitswahn so über sie; da musst Du Dich mit der Genderbeklopptenliga zufrieden geben, die auf irgendwelchen unwichtigen Seiten gelistet ist.) und dann gerierst Du Dich hier öffentlich alle paar Monate als Märtyrerin, und das ausgerechnet Du, der Du hier einen Hass- und Hetzblog alleruntersten Niveaus betreibst, ganz zu schweigen von Deinen übrigen Auftritten im Netz, die Deinen eigenen Blog ja noch mal um Längen toppen, was peinliches Danebenbenehmen angeht. Merkst Du eigentlich nicht, dass alle nur noch über Dich lachen? Ich gucke hier ja immer rein, weil es einfach diese Mischung aus Ungläubigkeit, Ekel, Belustigung ist, die einen magisch anzieht.
Mach endlich Deine Therapie! Jeder RAF-Terrorist mit seinem verqueren Vokabular ist aktueller am Zeitgeist, als Du in Deinem Genderwahn, psychotischem Narzissmus und Minderwertigkeitskomplexen. Die 70er sind vorbei. Du bist nun alt und hässlich, keine Partei bzw. Gruppe will Dich als Mitglied haben, beruflich bist Du eine Vollversagerin. Es ist Zeit, in Dich zu gehen und eine Therapie zu machen, damit Du wenigstens den Herbst Deines Lebens noch halbwegs genießen kannst, frei von Minderwertigkeitskomplexen."
hs	Sehr guter und vor allen Dingen wahrer Text übrigens, der da in der Piratenzeitschrift steht. Selbst unser Familienministerium - eigentlich ein Hort des Genderwahns - hat schon das Thema Jungenbenachteiligung erkannt, natürlich unter großen Gezeter der Genderfaschisten. Die Piratenpartei ist eine Partei, die wie keine andere eine Partei der neuen Generation ist. Psychosenweib, mach dich schon mal mit dem Gedanken vertraut, dass Du und Deine kranke Ideologie eine aussterbende ist. Femifaschismus ist eine Ideologie, die ihr Zuhause bei den Frauen (und ihren „männlichen“ Speichelleckern und Opportunisten) über 40 hat, die jetzt zwar (noch) viele Schaltstellen der Macht besetzt haben und mit einer beispiellosen PR-Kampagne das Land (noch) überziehen. Aber das Problem erledigt sich auf natürlich Weise.
n	"Mein Kommentar wird nicht freigeschaltet? ZENSUR!
So wird also hier Meinungsfreiheit verstanden? Großartig. Könnte ja jemand mal nicht mit einem Artikel hier einverstanden sein. Gewünscht werden hier wohl nur Claquere und klebewütige Aktivistinnen, die sich gegenseitig aufputschen. Und das bei einem Artikel einer Journalistin, (angebliche) Vertreterin der Meinungs- und Pressefreiheit. Deshalb wiederhole ich meine Kritik ausdrücklich NICHT, sonst werde ich auch noch mit ""Kackscheiße""-Aufklebern beklebt. Solche Stigmatisierungen haben uns in Deutschland schon immer weitergebracht.
Ich hoffe, der deutsche Werberat wird die richtige Antwort auf Diskriminierungsparanoia geben!"
n	"Oh Mann, ich bin ja echt mal gespannt, was dann in 10 - 15 Jahren ist, wenn die böse patriarchale Wirtschaft es sich nicht mehr leisten kann, auf die vielen tausend Germanistinnen, Soziologinnen und Kulturwissenschaftlerinnen zu verzichten…
“Niedergelassene Ärztinnen verdienen im Jahr durchschnittlich 78.000 Euro, ihre männlichen Kollegen 128.700 Euro, schreibt das Deutsche Ärzteblatt.”
Ähm. Selbstständige Ärztinnen und Ärzte, ja? Also Bezahlung nach Leistung und EIGENER Abrechnung, kein Gehalt vom diskriminierenden männlichen Chef oder so, keine gläserne Decke usw.? Damit kann es doch auch keine Gehaltsdiskriminierung o.ä. geben, oder?
“Wenig Geld für viel Arbeit, das kennen Frauen - aus dem Haushalt.”
Dafür freie Kost und Logis, Mobilität, soziale und wirtschaftliche Absicherung lebenslang, voll finanzierte Fortpflanzung usw. usf. - wenn mir eine Frau das freiwillig bietet und ich dafür lediglich einen Haushalt zu bewirtschaften habe, gern. Kein Ding, absolut nicht.
Ich schmeiße neben einer 60 Std.-Woche auch einen Haushalt mit 100 m² alleine, so what? Werde dafür auch nicht extra bezahlt, sondern bezahle vielmehr dafür."
n	Und wenn du unbedingt ein Wettbewerb aus dem Löschen meines Kommentares machen musst, dann mach ich gerne einen Wettbewerb daraus, wer schneller ist - du beim Anpassen deiner Kommentar/Captcha-Funktion oder ich beim programmieren eines Spambots. Das Ergebnis ist sehr wahrscheinlich die Abschaltung deiner Kommentarfunktion, also hör BITTE auf meine Kommentare zu löschen. Und nein, das ist kein Troll-Post, das ist mein Ernst. Und nein, du kannst mich nicht dafür belangen, da ich für das posten anonyme Proxy-Server nutze werde. Also bitte, hör auf andauernd zu zensieren.
n	Auch wenn ich es schon schreib: Herzlichen Dank auch von mir! Sehe meine argumentativen Beiträge als Reaktion auf Deinen schwachsinnigen Genderwahn dann letztendlich doch ganz gerne schwarz auf weiß im Netz, obwohl es mir eigentlich egal ist, denn sie haben ja nur einen Adressaten: Xena. Und die werden ja immer gelesen; Du bist ja immer so nett und gibst Lesebestätigung, selbst für die Beiträge, die Du dort bzw. hier nicht freischaltest, indem Du Dich so herrlich echauffierst. Jaja…..die Wahrheit tut weh, ganz besonders für Genderverrückte, deren Lügen- und Schwachsinns-Ideologie gegen diese beschützt werden muss. Und spar das Geld gut, das Du einnimmst durch die Seite; Du kannst es gebrauchen als Fernunistudentin in den 40ern. Muahahahahahahaha!
n	"lettre d'adieux
Na ja, das bringt dann wohl nix mehr hier bei Euch. Ihr ähnelt ja mehr einem Springerblatt mit eurer rigoroser Zensurpolitik.
Und dann wundert ihr euch, dass Feministinnen nicht mehr ernst genommen werden können ?
Dann vegetiert mal weiter in eurem Mikrokosmos, dreht euch weiter nur um euch selbst ;)
Mir ist das einfach zu primitiv mit Euch, dann lieber ohne Euch, aber gezwungenermaßen gegen Euch!
In diesem Sinne"
n	"Allerdings sehe ich als sehr viel größeres Problem die Verwendung des Wortes „Feminismus“ als rechtfertigung für alle möglichen, in der Gesellschaft mitlerweile als „toll“ propagierten unarten… Ehebruch („Aber wir frauen dürfen das, die Männder haben schliesslich angefangen“), Kinder, die gedankenlos in die welt gesetzt werden (Eine starke Frau braucht keinen Mann… und das Kind ja sowieso nicht), bis ins neurotische gesteigerter Egoismus etcetcetc…
Meine Meinung: Früher war nicht alles besser, aber eben auch nicht alles schlechter !"
